event_label,tournament,player,best_odds,best_decimal,best_implied_raw,best_book,dk_odds,dk_implied_raw,avg_novig_prob
masters,Masters Tournament Winner,Scottie Scheffler,300,4.0,0.25,bovada,300.0,0.25,0.16070912511298074
masters,Masters Tournament Winner,Rory McIlroy,850,9.5,0.105263,espnbet,600.0,0.142857,0.07617065681617914
masters,Masters Tournament Winner,Bryson DeChambeau,1600,17.0,0.058824,betrivers,1000.0,0.090909,0.04310507796241838
masters,Masters Tournament Winner,Jon Rahm,1600,17.0,0.058824,betrivers,1000.0,0.090909,0.0415932038382983
masters,Masters Tournament Winner,Xander Schauffele,2200,23.0,0.043478,espnbet,1800.0,0.052632,0.032897486618629575
masters,Masters Tournament Winner,Tommy Fleetwood,2000,21.0,0.047619,espnbet,1600.0,0.058824,0.03260919529300101
masters,Masters Tournament Winner,Ludvig Aberg,2600,27.0,0.037037,draftkings,2600.0,0.037037,0.03139953037750533
masters,Masters Tournament Winner,Justin Rose,3000,31.0,0.032258,draftkings,3000.0,0.032258,0.02421498072490425
masters,Masters Tournament Winner,Collin Morikawa,3500,36.0,0.027778,fanduel,2500.0,0.038462,0.023384511480310732
masters,Masters Tournament Winner,Patrick Reed,3500,36.0,0.027778,draftkings,3500.0,0.027778,0.0228144745556367
masters,Masters Tournament Winner,Hideki Matsuyama,3500,36.0,0.027778,draftkings,3500.0,0.027778,0.021565540019951496
masters,Masters Tournament Winner,Viktor Hovland,3500,36.0,0.027778,espnbet,3500.0,0.027778,0.017675723464773734
masters,Masters Tournament Winner,Cameron Young,4000,41.0,0.02439,bovada,4000.0,0.02439,0.01734515777045075
masters,Masters Tournament Winner,Christopher Gotterup,5000,51.0,0.019608,betrivers,3500.0,0.027778,0.01580114696343241
masters,Masters Tournament Winner,Justin Thomas,5500,56.0,0.017857,fanduel,4000.0,0.02439,0.015579877705120948
masters,Masters Tournament Winner,Robert Macintyre,5000,51.0,0.019608,draftkings,5000.0,0.019608,0.015307824030353266
masters,Masters Tournament Winner,Brooks Koepka,4000,41.0,0.02439,espnbet,4000.0,0.02439,0.015070076713328518
masters,Masters Tournament Winner,Jordan Spieth,5000,51.0,0.019608,betrivers,4000.0,0.02439,0.014558197848473087
masters,Masters Tournament Winner,Joaquin Niemann,5000,51.0,0.019608,espnbet,3800.0,0.025641,0.01368253433493881
masters,Masters Tournament Winner,Tyrrell Hatton,5500,56.0,0.017857,bovada,4000.0,0.02439,0.013634782096997955
masters,Masters Tournament Winner,Shane Lowry,6000,61.0,0.016393,espnbet,5500.0,0.017857,0.012528341016915598
masters,Masters Tournament Winner,Patrick Cantlay,6000,61.0,0.016393,espnbet,5000.0,0.019608,0.01239860745000606
masters,Masters Tournament Winner,Ben Griffin,6000,61.0,0.016393,bovada,5000.0,0.019608,0.011625183712165477
masters,Masters Tournament Winner,Matthew Fitzpatrick,8000,81.0,0.012346,bovada,5500.0,0.017857,0.011224295268153365
masters,Masters Tournament Winner,Russell Henley,6500,66.0,0.015152,bovada,5000.0,0.019608,0.011002662480178872
masters,Masters Tournament Winner,Will Zalatoris,7500,76.0,0.013158,espnbet,5500.0,0.017857,0.010787633991786755
masters,Masters Tournament Winner,Cameron Smith,7500,76.0,0.013158,espnbet,6000.0,0.016393,0.010117814772926574
masters,Masters Tournament Winner,Si Woo Kim,6600,67.0,0.014925,betrivers,6000.0,0.016393,0.009935693062479392
masters,Masters Tournament Winner,Jason Day,6600,67.0,0.014925,betrivers,6500.0,0.015152,0.009702588074320648
masters,Masters Tournament Winner,Min Woo Lee,7000,71.0,0.014085,bovada,5500.0,0.017857,0.00961195755569313
masters,Masters Tournament Winner,Corey Conners,7500,76.0,0.013158,espnbet,6000.0,0.016393,0.009427347451011925
masters,Masters Tournament Winner,Akshay Bhatia,8000,81.0,0.012346,bovada,6000.0,0.016393,0.009243102366241525
masters,Masters Tournament Winner,Sam Burns,10000,101.0,0.009901,bovada,6000.0,0.016393,0.009232894511468833
masters,Masters Tournament Winner,Sepp Straka,8000,81.0,0.012346,bovada,7000.0,0.014085,0.008721107067095281
masters,Masters Tournament Winner,Sungjae Im,10000,101.0,0.009901,espnbet,9000.0,0.010989,0.008626717570078222
masters,Masters Tournament Winner,Max Homa,8000,81.0,0.012346,betrivers,6500.0,0.015152,0.008564279535388976
masters,Masters Tournament Winner,Wyndham Clark,10000,101.0,0.009901,espnbet,8000.0,0.012346,0.0076717754148692315
masters,Masters Tournament Winner,J. J. Spaun,10000,101.0,0.009901,betmgm,8000.0,0.012346,0.006870593190629763
masters,Masters Tournament Winner,Sahith Theegala,10000,101.0,0.009901,espnbet,8000.0,0.012346,0.006847451754832114
masters,Masters Tournament Winner,Tony Finau,15000,151.0,0.006623,espnbet,10000.0,0.009901,0.006808473785891801
masters,Masters Tournament Winner,Marco Penge,15000,151.0,0.006623,espnbet,11000.0,0.009009,0.00675027224911447
masters,Masters Tournament Winner,Harris English,15000,151.0,0.006623,bovada,9000.0,0.010989,0.006535013752052107
masters,Masters Tournament Winner,Dustin Johnson,12500,126.0,0.007937,espnbet,9000.0,0.010989,0.0063903059271864975
masters,Masters Tournament Winner,Maverick Mcnealy,10000,101.0,0.009901,betrivers,10000.0,0.009901,0.006232707090675458
masters,Masters Tournament Winner,Alexander Noren,15000,151.0,0.006623,espnbet,10000.0,0.009901,0.005646087896186173
masters,Masters Tournament Winner,Sergio Garcia,15000,151.0,0.006623,espnbet,10000.0,0.009901,0.005577255762655748
masters,Masters Tournament Winner,Keegan Bradley,15000,151.0,0.006623,espnbet,12000.0,0.008264,0.00545976762851626
masters,Masters Tournament Winner,Rasmus Hojgaard,15000,151.0,0.006623,bovada,15000.0,0.006623,0.005305100460560764
masters,Masters Tournament Winner,Joohyung Kim,20000,201.0,0.004975,espnbet,,,0.005275549202363391
masters,Masters Tournament Winner,Adam Scott,15000,151.0,0.006623,bovada,12000.0,0.008264,0.005219367767160065
masters,Masters Tournament Winner,Ryan Fox,15000,151.0,0.006623,espnbet,12000.0,0.008264,0.005217278447375262
masters,Masters Tournament Winner,Harry Hall,13000,131.0,0.007634,draftkings,13000.0,0.007634,0.005196062528611917
masters,Masters Tournament Winner,Tom McKibbin,20000,201.0,0.004975,espnbet,14000.0,0.007092,0.0051672579447477
masters,Masters Tournament Winner,Davis Thompson,15000,151.0,0.006623,espnbet,14000.0,0.007092,0.004887183565523103
masters,Masters Tournament Winner,Kurt Kitayama,20000,201.0,0.004975,espnbet,15000.0,0.006623,0.0048666307493260225
masters,Masters Tournament Winner,Aaron Rai,15000,151.0,0.006623,espnbet,13000.0,0.007634,0.00481196806968811
masters,Masters Tournament Winner,Rasmus Neergaard-Petersen,20000,201.0,0.004975,espnbet,13000.0,0.007634,0.004518560746167877
masters,Masters Tournament Winner,Ryan Gerard,30000,301.0,0.003322,espnbet,11000.0,0.009009,0.004479861150353313
masters,Masters Tournament Winner,Brian Harman,17500,176.0,0.005682,betmgm,10000.0,0.009901,0.0044614570007921895
masters,Masters Tournament Winner,Daniel Berger,15000,151.0,0.006623,espnbet,,,0.004449232462853369
masters,Masters Tournament Winner,Matt McCarty,20000,201.0,0.004975,bovada,10000.0,0.009901,0.004441902125265768
masters,Masters Tournament Winner,John Keefer,20000,201.0,0.004975,betrivers,13000.0,0.007634,0.0042933024222373785
masters,Masters Tournament Winner,Max Greyserman,25000,251.0,0.003984,draftkings,25000.0,0.003984,0.004140376243732094
masters,Masters Tournament Winner,Denny McCarthy,15000,151.0,0.006623,espnbet,,,0.0041329530561777855
masters,Masters Tournament Winner,Nicolai Hojgaard,15000,151.0,0.006623,espnbet,15000.0,0.006623,0.004086677566904016
masters,Masters Tournament Winner,Michael Kim,20000,201.0,0.004975,draftkings,20000.0,0.004975,0.004020828457090984
masters,Masters Tournament Winner,Billy Horschel,25000,251.0,0.003984,espnbet,,,0.003972849991261315
masters,Masters Tournament Winner,Sami Välimäki,25000,251.0,0.003984,espnbet,19000.0,0.005236,0.003872639355222527
masters,Masters Tournament Winner,Thomas Detry,20000,201.0,0.004975,betrivers,,,0.0038622603915938096
masters,Masters Tournament Winner,Phil Mickelson,25000,251.0,0.003984,espnbet,20000.0,0.004975,0.003832736088618179
masters,Masters Tournament Winner,Carlos Ortiz,20000,201.0,0.004975,espnbet,15000.0,0.006623,0.0038279581143142085
masters,Masters Tournament Winner,Taylor Pendrith,25000,251.0,0.003984,espnbet,15000.0,0.006623,0.0038130728320832576
masters,Masters Tournament Winner,Andrew Novak,25000,251.0,0.003984,espnbet,20000.0,0.004975,0.0036858581398528955
masters,Masters Tournament Winner,Kristoffer Reitan,30000,301.0,0.003322,draftkings,30000.0,0.003322,0.0036429504432927444
masters,Masters Tournament Winner,Nick Taylor,25000,251.0,0.003984,bovada,25000.0,0.003984,0.0035546974269457057
