name,event_label,win_probability,tournament,dk_odds,best_odds,best_book,avg_novig_prob,model_prob,edge_pp,half_kelly_pct
Rory McIlroy,us_open,0.1405719285906971,US Open Winner,800.0,900.0,betonlineag,0.0714239451961128,0.1405719285906971,6.91479833945843,2.25
Russell Henley,us_open,0.05981478205949909,US Open Winner,5500.0,5500.0,draftkings,0.012935808401212367,0.05981478205949909,4.687897365828672,2.14
Patrick Cantlay,us_open,0.05921582764586814,US Open Winner,4500.0,8000.0,betonlineag,0.01347601699558643,0.05921582764586814,4.573981065028171,2.37
Russell Henley,masters,0.04984071064168792,Masters Tournament Winner,5000.0,6500.0,bovada,0.011002662480178872,0.04984071064168792,3.883804816150905,1.76
Rory McIlroy,masters,0.11493560010722034,Masters Tournament Winner,600.0,850.0,espnbet,0.07617065681617914,0.11493560010722034,3.87649432910412,0.54
Collin Morikawa,us_open,0.06098624257663889,US Open Winner,2200.0,3500.0,betonlineag,0.022240161123753415,0.06098624257663889,3.874608145288548,1.71
Viktor Hovland,pga_champ,0.05685854464859222,PGA Championship Winner,3500.0,3500.0,bovada,0.01928269046565815,0.05685854464859222,3.7575854182934068,1.5
Patrick Cantlay,masters,0.0493200832272927,Masters Tournament Winner,5000.0,6000.0,espnbet,0.01239860745000606,0.0493200832272927,3.692147577728664,1.67
Viktor Hovland,masters,0.054395225780402436,Masters Tournament Winner,3500.0,3500.0,espnbet,0.017675723464773734,0.054395225780402436,3.6719502315628705,1.37
Patrick Cantlay,open,0.04560143344395038,The Open Winner,6000.0,7000.0,lowvig,0.01157208540886786,0.04560143344395038,3.402934803508252,1.6
Russell Henley,open,0.045636185638236036,The Open Winner,5500.0,5500.0,lowvig,0.012510157793131627,0.045636185638236036,3.3126027845104407,1.41
Viktor Hovland,us_open,0.05263895111793065,US Open Winner,2800.0,4000.0,betonlineag,0.02033193518219947,0.05263895111793065,3.230701593573118,1.45
Russell Henley,pga_champ,0.04283411851719724,PGA Championship Winner,7000.0,7000.0,draftkings,0.01098864663485603,0.04283411851719724,3.1845471882341214,1.46
Viktor Hovland,open,0.05265230335944305,The Open Winner,3000.0,3500.0,espnbet,0.021766233245309696,0.05265230335944305,3.0886070114133353,1.28
Patrick Cantlay,pga_champ,0.04575393298930269,PGA Championship Winner,4500.0,6000.0,lowvig,0.014965857313760194,0.04575393298930269,3.0788075675542497,1.49
Kurt Kitayama,pga_champ,0.034671330854593806,PGA Championship Winner,,25000.0,betmgm,0.00427489624869676,0.034671330854593806,3.039643460589705,1.54
Rory McIlroy,pga_champ,0.1112172587677424,PGA Championship Winner,650.0,850.0,lowvig,0.0818345301255109,0.1112172587677424,2.93827286422315,0.33
